,Produto,Preço Base,Preço Final
0,Água Sanitária Super Globo Embalagem 5 Litros,13.99,13.99
1,Kit Limpeza 2 Cloros de 500Ml + 1 Limpador Multiuso 500Ml Super Globo,10.99,10.99
2,Kit Multiuso Mais Perfume 500Ml Azulim 3Un,8.9,8.9
3,Álcool Líquido 70º Inpm Flop's 1L,8.99,8.99
4,Limpador Multiuso Veja 10% Desconto 500Ml,4.69,4.69
5,Álcool Flops 46º Embalagem 1L,7.49,7.49
6,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",5.99,5.99
7,Água Sanitária Santa Clara 5L,12.3,12.3
8,Água Sanitária Classic Embalagem 2 Litros,5.59,5.59
9,Água Sanitária Santa Clara Embalagem 2 Litros,5.59,4.98
10,Água Sanitária Santa Clara Embalagem 1 Litro,3.39,3.39
11,"Álcool Líquido Araucária 46,2º Embalagem 500Ml",4.75,4.75
12,Brilha Alumínio Uva Brilhaluminio 500Ml,2.99,2.99
13,Água Sanitária Classic 1Litro,3.49,3.49
14,Água Sanitária Ypê 2L,9.45,9.45
15,Limpador Multiuso Cif Cremoso Original Oferta 450Ml,13.9,13.9
16,Tira Limo Azulim Embalagem 500Ml,4.89,4.89
17,Limpador Cremoso Cif Original 250Ml,8.99,8.99
18,Limpa Alumínio Marina Verde Embalagem 500Ml,2.98,2.98
19,Soda Cáustica Escorpião 1Kg,32.9,32.9
20,Álcool Líquido 70º Everest Embalagem 1L,9.25,9.25
21,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.59,4.59
22,Limpador Multiuso Uau Rosas Sedução 500Ml,4.59,4.59
23,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,9.9,9.9
24,Limpador Multiuso Super Globo Floral Embalagem 500Ml,3.69,3.69
25,Limpador Agradable Casa e Perfume 1L,8.39,8.39
26,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.99,2.99
27,Cloro Super Cloro Classic Extra Forte 1 Litro,4.29,4.29
28,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,8.39,8.39
29,Super Cloro Classic Extra Forte 2L,7.59,7.59
30,Lustra Móvel Poliflor Lavanda 200Ml,7.99,7.99
31,Tira Limo Veja Banheiro X14 500Ml,12.9,12.9
32,Pastilhas Ades Inspira Lavanda 20%Desc 3Un,5.69,5.69
33,Desinfetante Pinho Lavanda Super Globo 500Ml,3.49,3.49
34,Pedra Sanitária Sampa Clean 25G,2.99,2.99
35,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,6.99,6.99
36,Limpador Agradable Casa e Perfume 500Ml,5.29,5.29
37,Sapólio Radium Pó Clássico,4.99,4.99
38,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,5.89,5.89
39,Limpador Uau Multiuso Flores e Folhas 500Ml,4.59,4.59
40,Limpador Sensualidad Casa e Perfume 500Ml,5.29,5.29
41,Desengordurante Uau Squeeze 500Ml,6.99,6.99
42,Limpador Uau Perfumes Cuidado e Carinho 500Ml,4.49,4.49
43,Desinfetante de Lavanda Lysoform 1L,14.59,14.59
44,Desinfetante Original Bruto Lysoform 1L,14.59,14.59
45,Sapólio Radium Po com Cloro 300G,4.99,4.99
46,Limpador Multiuso Veja Maçã Verde 500Ml,5.69,5.69
47,Soda Cáustica Yara 950G,14.29,14.29
48,Lustra Móveis Poliflor Lavanda 200Ml,7.99,7.99
49,Desentupidor de Piá Diabo Verde Embalagem 300G,21.5,21.5
50,Limpador Multiuso Cif Gel Oferta 475G,11.8,11.8
51,Limpador Veja Perfumes Lavanda Oferta 500Ml,4.59,4.59
52,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,15.49,15.49
53,Limpador Uau Cloro Ativo Limpeza Pesada 500Ml,6.59,6.59
54,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,4.99,4.99
55,Veja Limpeza Pesada 2X1 500Ml Cloro Ativo,9.7,9.7
56,Limpador Desengordurante Cozinha Laranja Mr Músculo 400Ml,9.7,9.7
57,Cera Líquida Incolor Brilho Fácil 750Ml,13.49,13.49
58,Limpador Cremoso Limão Cif 450Ml,16.59,16.59
59,Pedra Sanitária Pratik Eucalipto Embalagem 35G,2.69,2.69
60,Desinfetante Ypê Bak Lavanda 500Ml,3.79,3.79
61,Limpador Multiuso Veja com Álcool 500Ml,5.99,5.99
62,Limpador Azulim Lavanda Embalagem 1L,7.79,7.79
63,Bry Lustra Móveis de Lavanda Ingleza 200Ml,5.99,5.99
64,Desengordurante Super Globo Squeeze 500Ml,5.99,5.99
65,Limpador Multiuso Uau Cloro Ativo 500Ml,8.49,8.49
66,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,6.1,6.1
67,Pastilha Adesiva Floral Pato 3 Unidades,9.6,9.6
68,Desinfetante Ypê Bak Floral 500Ml,3.79,3.79
69,Limpador Uau Flores e Sonhos 500Ml,4.49,4.49
70,Desinfetante Pinho Bril Campos de Lavanda 500Ml,4.29,4.29
71,Limpador Veja Gold Limpeza Pesada Oferta 1L,14.7,14.7
72,Limpador Perfumado Uau Flores e Sonhos Embalagem Leve 1 Litro Pague 800Ml,6.99,6.99
73,Limpador Diluível Ajax Fresh Limão 500Ml,10.59,10.59
74,Cera Líquida Brilhowax Incolor 750Ml,10.7,10.7
75,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,4.49,4.49
76,Limpador Multiuso Veja Floral Oferta 500Ml,4.69,4.69
77,Água Sanitária Superglobo Embalagem 1L,3.49,3.49
78,Desinfetante Batuta Floral Embalagem 2L,8.8,8.8
79,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.69,4.69
80,Desinfetante Batuta Lavanda Embalagem 2L,8.8,8.8
81,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,11.7,11.7
82,Desinfetante Lavanda Pinho Sol 500Ml,7.49,7.49
83,Limpador Uau Brisa Frescor 500Ml,4.49,4.49
84,Limpador Multiuso Azulim Original Azul 500Ml,3.69,2.99
85,Desinfetante Pinho Sol Original 500Ml,7.49,7.49
86,Limpa Forno Diabo Verde Embalagem 250G,14.39,14.39
87,Cera Líquida Ingleza Maxx Incolor 750Ml,13.7,13.7
88,Pedra Sanitária Pratik Floral Embalagem 35G,2.69,2.69
89,Limpa Pedra Start Pedrex Embalagem 2L,19.7,19.7
90,Pedra Sanitária Marine Oferta Pato,3.59,3.59
91,Tira Ferrugem Semorin Embalagem 50Ml,10.9,10.9
92,Desinfetante Líquido Original Lysoform 500Ml,5.99,5.99
93,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,4.59,4.59
94,Desinfetante Multiuso Antibac Cif 500Ml,3.9,3.9
95,Desinfetante Santa Clara Floral Embalagem 2 Litros,5.89,5.89
96,Limpador Casa e Perfume Amable 500Ml,5.29,5.29
97,Limpador Multiuso Floral Uau Embalagem 500Ml,4.59,4.59
98,Limpador Multiuso Ypê Controle de Odor 500Ml,4.49,4.49
99,Desinfetante de Eucalipto Urca 2L,5.29,5.29
100,Desinfetante Pinho Bril Campos de Lavanda 1000Ml,7.49,7.49
101,Cera Líquida Ingleza Max Ardosia Verde Embalagem 750Ml,14.4,14.4
102,Desinfetante Pinho Bril Silvestre Plus 1L,7.49,7.49
103,Cloro Aditivado Floral Vim 700Ml,12.9,12.9
104,Limpador Casa e Perfume Passione Embalagem 500Ml,5.29,5.29
105,Desinfetante Pinho Bril Silvestre Plus 500Ml,4.29,4.29
106,Limpa Vidros Cif Refil 450Ml,10.7,10.7
107,Limpador Banheiro Oferta Mr Músculo 500Ml,11.2,11.2
108,Limpador Casa e Perfume Speciale Embalagem 500Ml,5.29,5.29
109,Pedra Sanitária Bosque de Pinho Oferta Glade 25G,4.69,4.69
110,Saponáceo em Pó Multiuso Limão Bom Bril Sapólio Radium 300G,5.29,5.29
111,Desinfetante Pinho Sol Original 1000Ml,13.9,13.9
112,Alcool Flops Tradicional 46.2 Inpm 500Ml,4.29,4.29
113,Limpa Piso Porcelanato e Cerâmica Super Globo 750Ml,8.69,8.69
114,Cera Líquida Brilho Fácil Ardósia Embalagem 750Ml,12.9,12.9
115,Limpador Banheiro Cif sem Cloro Refil 450Ml,8.49,8.49
116,Limpador Uau Perfumes Brisa e Frescor Ingleza Frasco 1L 20% de Desconto,6.99,6.99
117,Limpador Multiuso Cif Cremoso Laranja 250Ml,8.99,8.99
118,Limpador Diluível Ajax Fresh 500Ml,10.59,10.59
119,Limpador Multiuso Veja Power Fusion Laranja 500Ml,9.9,9.9
120,Óleo de Peroba 200Ml,13.99,13.99
121,Limpador Multiuso Super Globo Original Embalagem 500Ml,3.69,3.69
122,Limpador Perfumado Super Globo Momentos de Tranquilidade Embalagem 500Ml,4.29,4.29
123,Desengordurante Veja Limão Refil 500Ml,17.99,17.99
124,Óleo de Peroba King 100Ml,9.9,9.9
125,Limpador Uau Multiuso Folhas Verdes Embalagem 500Ml,4.59,4.59
126,Desinfetante Classic Floral Embalagem 2 Litros,6.39,6.39
127,Detergente Sanitário Pastilha Adesiva Marine Inspira Grátis 20% Desconto 3Un,5.69,5.69
128,Limpa Pisos Cif Perfumes Envolvente 450Ml,5.29,5.29
129,Bloco Sanitário Harpic Fresh Power 6 Frescor do Caribe,17.79,17.79
130,Limpa Pisos Cif Perfumes Relaxante Frasco 450Ml,5.29,5.29
131,Desinfetante Ypê Bak Eucalipto 500Ml,3.79,3.79
132,Limpa Piso Elimina Odores Super Globo 750Ml,8.69,8.69
133,Limpador Veja Uso Direto Floral 900Ml,13.69,13.69
134,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,8.8,8.8
135,Limpador Diluível Ajax Fresh Blue 500Ml,10.59,10.59
136,Cera Líquida Nugget Preto 33% de Desconto Embalagem 60Ml,14.79,14.79
137,Desinfetante Pinho Bril Flores de Limão 1000Ml,7.49,7.49
138,Cera Ingleza Ardosia Incolor Embalagem 750Ml,11.7,11.7
139,Desinfetante Pinho Trop Pinho e Menta 500Ml,3.99,3.99
140,Limpa Inox Uau 200Ml,12.29,12.29
141,Cera Líquida Brilho Fácil Vermelha 750Ml,12.59,12.59
142,Desinfetante Pinho Sol Limão 500Ml,7.49,7.49
143,Limpa Pisos Cif Perfumes Energizante 450Ml,5.29,5.29
144,Limpador Perfumado Veja Aroma Sense Romance 500Ml,6.39,6.39
145,Cera Líquida Brilho Fácil Amarela Embalagem 750Ml,12.59,12.59
146,Desinfetante Classic Lavanda Embalagem 2 Litros,6.39,6.39
147,Removedor Faisca Tradicional 500Ml,15.9,15.9
148,Limpador Perfumado Paixão Super Globo Embalagem 500Ml,4.29,4.29
149,Desinfetante Super Globo Eucalipto 2 Litros,6.69,6.69
150,Limpador Vidros Cif Ultra Rápido 500 Ml,13.9,13.9
151,Limpa Forno Easy Off 250Ml,20.9,20.9
152,Anil Líquido Colman 200Ml,25.7,25.7
153,Desengordurante Marina 500Ml,4.49,4.49
154,Limpador Multiuso Super Globo Campestre Embalagem 500Ml,3.69,3.69
155,Desinfetante Santa Clara Eucalipto Embalagem 5 Litros,17.49,17.49
156,Limpador Limpeza Pesada 4 em 1 Alta Performance Uau 500Ml,5.69,5.69
157,Cera em Pasta Ingleza Lavanda Amarela Lata 400G,29.9,29.9
158,Limpa Porcelanatos Azulim Power Citrus Embalagem 750Ml,9.2,9.2
159,Graxa para Sapato em Pasta Preta Nugget Lata 36G,12.9,12.9
160,Desinfetante Super Globo Lavanda 2 Litros,6.69,6.69
161,Limpador Uau Limpeza Pesada Alta Performance Embalagem Leve 1 Litro Pague 900Ml,10.9,10.9
162,Limpador Multiuso Super Globo Embalagem 500Ml,5.39,5.39
163,Desinfetante Uso Geral Ufe 750Ml,11.7,11.7
164,Limpador Multiuso Squeeze com Alcool Super Globo 500Ml,3.69,3.69
165,Limpa Piso Laminado Super Globo 750Ml,8.69,8.69
166,Desinfetante Super Globo Floral 2 Litros,6.69,6.69
167,Limpa Azulejo Macedo,22.7,22.7
168,Desinfetante Marina Pinho Embalagem 1 Litro,4.29,4.29
169,Graxa para Sapato em Pasta Marrom Nugget Lata 36G,12.9,12.9
170,Cera Líquida Brilhowax Vermelha 750Ml,10.99,10.99
171,Cera Líquida Nugget Calçado Marrom Unidade 60Ml,14.79,14.79
172,Tira Ceras Inglesa Embalagem 1L,17.99,17.99
173,Pedra Sanitária Marina Lavanda Embalagem 25G,2.99,2.99
174,Desinfetante Marina Floral Embalagem 1 Litro,4.29,4.29
175,Limpador Multiuso Folhas e Flores Marina 500Ml,3.49,3.49
176,Limpador Perf Marina Frescor Revigorante 1 L,6.49,6.49
177,Desinfetante Pinho Citrus Super Globo Embalagem 500Ml,3.49,3.49
178,Limpa Cerâmica Marina 1L,6.49,6.49
179,Limpador Acido Muriatico Mais 1L,7.2,7.2
180,Desinfetante Marina Eucalipto Embalagem 1 Litro,4.29,4.29
181,Pastilha Adesiva Lavanda Marina 3Un,5.69,5.69
182,Limpador Perfumado Lavanda Marina 2L,9.49,9.49
183,Pastilha Adesiva Marine Marina 3Un,5.69,5.69
184,Desinfetante Marina Lavanda Embalagem 1 Litro,4.29,4.29
185,Querosene Dragão 500Ml,14.49,14.49
186,Limpador Perfumado Marina Lavanda Inspiradora 1 Litro,6.49,6.49
187,Limpa Vidros Classic Alvejante 500Ml,4.39,4.39
188,Desinfetante Pinho Super Globo 500Ml,3.49,3.49
189,Pedra Sanitária Bouquet Lavanda Embalagem com 25% de Desconto Glade 25G,3.59,3.59
190,Eliminador de Odores Multiuso Hortelã Uau 500Ml,4.59,4.59
191,Essência de Eucalipto Marina 140Ml,6.99,6.99
192,Neutralizador de Odores Jardim de Pêonia Bom Ar Frasco 360Ml Embalagem Econômica,13.99,13.99
193,Antimofo Pratik Baby 80G,6.7,6.7
194,Neutralizador de Odores Cheirinho de Talco Bom Ar Frasco Embalagem Econômica 360Ml,13.99,13.99
195,Desodorizador Aerossol Lavanda Oferta Especial Glade 360Ml,14.99,14.99
196,Detergente Sanitário em Pedra Bosque de Pinho Harpic 25G,3.59,3.59
197,Pedra Inspira Perfumada Pinho 25%Desconto,3.29,3.29
198,Essência de Lavanda Marina 140Ml,8.99,8.99
199,Odorizador Pratik Aparelho Refil Lavanda 12Ml,10.99,10.99
200,Óleo de Eucalipto Aromatec 140Ml,8.99,8.99
201,Desodorizador Gel Pequenos Ambientes Lavanda Glade 70G,8.9,8.9
202,Essência Marina Citronela 140Ml,6.99,6.99
203,Essência Spray Marina Concentrado Citronela 140 Ml,8.99,8.99
204,Aromatizante Marina Lavanda Spray 140Ml,8.99,8.99
205,Desodorizador de Ambiente Dia a Dia Ubatuba Embalagem 140Ml,16.99,16.99
206,Óleo de Eucalipto Marina Embalagem 100Ml,11.99,11.99
207,Bastão Sanitário Sani-All para Caixa Acoplada Citrus 50G,8.99,8.99
208,Detergente Ypê Clear 500Ml,2.49,2.49
209,Detergente Ypê Neutro 500Ml,2.49,2.49
210,Detergente Coco Ypê 500Ml,2.49,2.49
211,Detergente Limpol Coco 500Ml,2.49,2.49
212,Detergente Líquido Limpol Cristal Embalagem 500Ml,2.49,2.49
213,Detergente Liq.Limpol 500Ml Lavanda,2.49,2.49
214,Detergente Ypê Limão 500Ml,2.49,2.49
215,Detergente Ypê Clear Care 500Ml,2.49,2.49
216,Detergente Ypê Capim Limão 500Ml,2.49,2.49
217,Detergente Líquido Neutro Limpol 500Ml,2.49,2.49
218,Detergente Líquido Azulim Neutro 500Ml,1.89,1.89
219,Detergente Líquido Lava Louça Minuano 1300 Coco 500Ml,2.49,2.49
220,Detergente Limpol Maçã 500Ml,2.49,2.49
221,Detergente Líquido Azulim Citrus 500Ml,1.89,1.89
222,Detergente Líquido Lava Louças Minuano 1300 Marine 500Ml,2.49,2.49
223,Detergente Limpol Limão 500Ml,2.49,2.49
224,Lava-Louças Líquido Clear Minuano Embalagem 500Ml,2.49,2.49
225,Detergente Líquido Limpol Jabuticaba 500Ml,2.49,2.49
226,Detergente Líquido Maçã Ypê 500Ml,2.49,2.49
227,Pasta de Pinho Marina Embalagem 1 Litro,9.9,9.9
228,Detergente Líquido Azulim Clear 500Ml,1.89,1.89
229,Sabão Pastoso Tradicional Barra Embalagem 500G,8.99,8.99
230,Detergente Líquido Lava Louça Minuano 1300 Maçã 500Ml,2.49,2.49
231,"Lava Roupas em Pó 5 em 1 Rosas e Flor de Lis Surf 1,6Kg",18.99,18.99
232,Limpa Alumínio em Pasta Alumil Start 500G,9.6,9.6
233,Pasta Multiuso Cristal Rosa 500G,5.79,5.79
234,Sabão em Pasta Dipol 500G,8.49,8.49
235,Kit Limpador Super Globo 1 Desengordurante + 1 Pinho + 1 Cloro 3Un,10.99,10.99
236,Detergente Liquido Maçã Smart 500Ml,1.89,1.89
237,Detergente Líquido Neutro Ypê 500Ml,2.49,2.49
238,Inseticida Kaocid Carbaril Pó Lata 50G,6.39,6.39
239,Inseticida Sbp Aerosol Eucalipto 450Ml,15.59,15.59
240,Naftalina Sanilar em Bolas Embalagem 50G,1.99,1.99
241,Inseticida Raid Ação Total 285Ml,13.2,13.2
242,Inseticida Raid Multi Insetos Base Água 420Ml,16.7,12.98
243,Inseticida Raid Acqua Protec Aerosol 420Ml,15.99,15.99
244,Repelente Elétrico Raid Líquido Oferta Refil 2Un,21.9,21.9
245,Inseticida Raid Multi Insetos Eucalipto Oferta 420Ml,16.7,12.98
246,"Repelente Elétrico Liquido 45 Noites Aparelho e Refil Original Raid 32,9M",14.99,13.98
247,Inseticida Raid Multi Insetos Citronela Oferta 420Ml,16.7,12.98
248,Sbp Multi Inseticida Aerossol Leve+ Pague- 450Ml,15.59,15.59
249,Inseticida Kelldrin Sc25 Embalagem 30Ml,8.89,8.89
250,Inseticida Raid Mata Baratas Formigas Oferta 420Ml,16.7,12.98
251,"Repelente Elétrico Líquido 45 Noites Raid Family Caixa 2 Unidades 32,9Ml",21.9,21.9
252,Refil Pastilha Eletrica Raid com 12Un,4.99,4.99
253,Inseticida Baygon Multi Insetos 285Ml,11.79,11.79
254,Inseticida Boa Noite Original Espiral 96G,4.9,4.9
255,Inseticida Aerosol Ação Total Óleo de Eucalipto Baygon 360Ml,15.49,15.49
