,Produto,Preço Base,Preço Final
0,Álcool Mega 70° 1Lt,8.98,8.98
1,Kit Multiuso Mais Perfume 500Ml Azulim 3Un,8.89,8.89
2,Álcool Etílico Hidratado 70º Inpm Uzu 1L,8.98,8.98
3,Álcool Líquido 70º Inpm Flop's 1L,7.98,7.98
4,Limpador Multiuso Veja 10% Desconto 500Ml,5.29,5.29
5,Água Sanitária Marina Embalagem 2L,5.25,5.25
6,Limpador Multiuso Cif +Antibac Oferta 500Ml,3.99,3.99
7,Água Sanitária Marina Embalagem 1L,3.25,3.25
8,Desinfetante Marina Lavanda 2L,5.29,5.29
9,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",6.29,6.29
10,Água Sanitária Santa Clara Embalagem 2 Litros,5.69,4.98
11,Água Sanitária Classic Embalagem 2 Litros,5.65,5.65
12,Álcool 70% Asseptgel Start Embalagem 500Ml,4.99,4.99
13,Álcool Líquido 70% Start 1L,8.98,8.98
14,Sapólio Radium Cremoso Original 250Ml,9.48,9.48
15,Água Sanitária Santa Clara Embalagem 1 Litro,3.29,3.29
16,Limpador Uau Multiuso com Cloro Ativo Embalagem 500Ml,8.29,8.29
17,"Álcool Start 46,2º Embalagem 1L",9.98,9.98
18,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,14.49,14.49
19,Querosene Jacaré Lata 900Ml,26.98,26.98
20,Kit Limpador Multiuso Azulim 550Ml 3Un,8.89,8.89
21,Água Sanitária Classic 1Litro,3.29,3.29
22,Limpador Multiuso Cif Cremoso Original Oferta 450Ml,13.98,13.98
23,Tira Limo Azulim Embalagem 500Ml,4.29,3.99
24,Água Sanitária Ypê 2L,8.98,8.98
25,Limpa Alumínio Marina Verde Embalagem 500Ml,2.85,2.85
26,Água Sanitária Super Globo Embalagem 2 Litros,6.29,6.29
27,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.25,4.25
28,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,10.85,10.85
29,Limpador Multiuso Uau Rosas Sedução 500Ml,4.25,4.25
30,Limpador Multiuso Super Globo Floral Embalagem 500Ml,3.65,3.65
31,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.98,2.98
32,Limpador Multiuso Gold Original Veja 500Ml,5.29,5.29
33,Kit Econômico Azulim Multiuso 4X1,14.89,14.89
34,Água Sanitária Marina 5 Litros,12.98,12.98
35,Cloro Super Cloro Classic Extra Forte 1 Litro,3.99,3.99
36,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,16.9,16.9
37,Limpa Box Uau Blindex 200Ml,11.28,11.28
38,Tira Limo Veja Banheiro X14 500Ml,14.49,14.49
39,"Água Sanitária Ypê Leve 2L Pague 1,8L Grátis 200Ml",8.98,8.98
40,Limpador Cif Cremoso Original Oferta Embalagem 500Ml,13.98,13.98
41,Super Cloro Classic Extra Forte 2L,7.29,7.29
42,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,6.98,5.99
43,Pedra Sanitária Harpic Pinho Campestre 25G,3.35,3.35
44,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,6.98,5.99
45,Casa e Perfume Sensazine 500Ml,4.78,4.78
46,Cloro Gel Vim Lavanda 700Ml,12.79,12.79
47,Sapólio Radium Pó Clássico,5.29,4.99
48,Desengordurante Uau Squeeze 500Ml,7.85,7.85
49,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,5.99,5.99
50,Pedra Sanitária Inspira Lavanda 1Un,2.99,2.99
51,Limpador Cremoso Cif Original 450Ml,13.98,13.98
52,Pastilhas Ades Inspira Lavanda 20%Desc 3Un,5.98,5.98
53,Limpador Sanitário Limpeza Profunda Gel Marine Pato 750Ml,15.95,15.95
54,Limpador Uau Multiuso Lavanda 500Ml,4.25,4.25
55,Limpador Uau Multiuso Flores e Folhas 500Ml,4.25,4.25
56,Desinfetante Marina Marine Embalagem 2 Litros,5.29,5.29
57,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.45,4.45
58,Limpa Piso Uau Laminado 750Ml,9.48,9.48
59,Limpador de Pisos Laminados Destac 750Ml,14.98,14.98
60,Limpador Limpeza Pesada Veja 500Ml,10.95,10.95
61,Soda Cáustica Yara 950G,18.9,18.9
62,Limpador de Pisos Destac Laminados 750Ml,14.98,14.98
63,Pedra Sanitária de Lavanda Harpic Oferta 25G,3.35,3.35
64,Desinfetante Original Bruto Lysoform 1L,12.79,12.79
65,Desengordurante Veja Limão Squeeze 500Ml,10.85,10.85
66,Limpador Multiuso Fresh Marina 500Ml,3.29,3.29
67,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,13.49,13.49
68,Desentupidor de Piá Diabo Verde Embalagem 300G,19.98,19.98
69,Água Sanitária Ypê 1L,4.98,4.98
70,Desinfetante Santa Clara Herbal Embalagem 2 Litros,5.99,5.99
71,Limpador Multiuso Super Globo Original 500Ml,3.65,3.65
72,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,5.29,5.29
73,Cera Líquida Incolor Brilho Fácil 750Ml,12.49,12.49
74,Desengordurante Super Globo Squeeze 500Ml,5.49,5.49
75,Limpador Azulim Lavanda Embalagem 1L,6.89,5.99
76,Limpador Uau Cloro Ativo Limpeza Pesada 500Ml,6.49,6.49
77,Desinfetante Classic Floral 5 Litros,13.49,13.49
78,Limpador Uau Limpa Vidros Embalagem 500Ml,7.79,6.98
79,Cera Líquida Brilhowax Incolor 750Ml,9.85,9.85
80,Limpadores Veja Limpeza Pesada Original Leve 500Ml Pague 400Ml Embalagem 500Ml,10.95,10.95
81,Desinfetante Urca Floral Brisa 2L,5.98,5.98
82,Limpador Multiuso Uau Cloro Ativo 500Ml,8.29,8.29
83,Desinfetante Batuta Floral Embalagem 2L,7.98,7.98
84,Limpador Multiuso Veja Floral 500Ml,5.29,5.29
85,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,6.29,6.29
86,Desinfetante Pinho Trop 1L,6.95,6.95
87,Desengordurante Azulim Limpeza Pesada Limão Embalagem 500Ml,4.99,4.99
88,Limpador Uau Flores e Sonhos 500Ml,4.45,4.45
89,Limpa Piso Uau Rosas e Sedução 750Ml,9.49,9.49
90,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,5.29,5.29
91,Limpador Multiuso Veja Floral Oferta 500Ml,5.29,5.29
92,Limpador Perfumado Uau Flores e Sonhos Embalagem Leve 1 Litro Pague 800Ml,6.98,5.99
93,Bry Lustra Móveis de Lavanda Ingleza 200Ml,6.25,6.25
94,Limpador Multiuso Azulim Citronela 500Ml,3.49,2.99
95,Água Sanitária Superglobo Embalagem 1L,3.59,3.59
96,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,4.45,4.45
97,Limpador Multiuso Ação Clareadora Uau 500Ml,4.25,4.25
98,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,9.48,9.48
99,Desinfetante Pinho Bril Campos de Lavanda 500Ml,4.28,4.28
100,Limpador Multiuso Veja Gold Campestre 500Ml,5.29,5.29
101,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,10.79,10.79
102,Limpador Perfumado Intuizione New Casa & Perfume 500Ml,4.78,4.78
103,Desinfetante Batuta Lavanda Embalagem 2L,7.98,7.98
104,Limpador Cif Banheiro Tira Limo com Cloro 450Ml,10.98,10.98
105,Limpador Multiuso Azulim Original Azul 500Ml,3.49,2.99
106,Limpador Uau Multiuso Cloro Ativo 5 em 1 Lavanda 500Ml,8.29,8.29
107,Limpador Uau Brisa Frescor 500Ml,4.45,4.45
108,Limpador Multiuso Super Globo Lavanda 500Ml,3.65,3.65
109,Limpa Pedra Start Pedrex Embalagem 2L,18.99,18.99
110,Desinfetante Pinho Sol Original 500Ml,7.28,7.28
111,Limpeza Pesada Uau Rosas e Sedução 500Ml,6.49,6.49
112,Pedra Sanitária Master Sortida 25G,2.25,2.25
113,Pedra Sanitária Marine Oferta Pato,3.79,3.79
114,Limpador Removedor de Gordura Cozinha Cif Sch 450Ml Refil,10.98,10.98
115,Cera Líquida Ingleza Maxx Incolor 750Ml,13.49,13.49
116,Soda Caustica Escorpião Embalagem 500G,18.98,18.98
117,Desinfetante Citrus Lysoform 1L,12.79,12.79
118,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,4.25,4.25
119,Sapólio Radium Pó Lavanda 300G,5.29,4.99
120,Limpa Piso Uau Cerâmicas 750Ml,9.48,9.48
121,Desinfetante de Limão Pinho Bril 500Ml,4.28,4.28
122,Limpador Veja Multiuso Original Pague 500Ml Embalagem 650Ml,5.29,5.29
123,Desinfetante Líquido Original Lysoform 500Ml,6.49,6.49
124,Cera Líquida Ingleza Max Ardosia Verde Embalagem 750Ml,13.49,13.49
125,Desinfetante Multiuso Antibac Cif 500Ml,3.99,3.99
126,Desinfetante Santa Clara Floral Embalagem 2 Litros,5.99,5.99
127,Lustra Móveis Jasmim Poliflor 500Ml,19.98,19.98
