,Produto,Preço Base,Preço Final
0,Álcool Líquido 70 Araucaria 1L,10.98,10.98
1,Kit Multiuso Mais Perfume 500Ml Azulim 3Un,8.98,7.98
2,Álcool 70% Asseptgel Start Embalagem 500Ml,5.78,5.78
3,Álcool Líquido 70% Start 1L,9.98,9.98
4,Água Sanitária Santa Clara Embalagem 1 Litro,3.59,3.59
5,Água Sanitária Start Tuff Embalagem 5L,13.98,13.98
6,Alcool Anhanguera 70 Embalagem 1 Litro,11.49,11.49
7,Brilha Alumínio Uva Brilhaluminio 500Ml,3.58,3.58
8,Querosene Jacaré Lata 900Ml,32.98,32.98
9,Tira Limo Azulim Embalagem 500Ml,5.39,5.39
10,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.58,4.58
11,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,9.98,9.98
12,Limpador Multiuso Uau Rosas Sedução 500Ml,5.58,5.58
13,Limpador Agradable Casa e Perfume 1L,10.79,10.79
14,Limpador Brilhalumínio Tradicional Embalagem 500Ml,3.58,3.58
15,Cloro Super Cloro Classic Extra Forte 1 Litro,4.48,4.48
16,Saponáceo Cremoso Multiuso Limão Bom Bril Sapólio Radium 250Ml,10.98,10.98
17,Tira Limo Veja Banheiro X14 500Ml,15.88,15.88
18,Desinfetante Start Vorel Eucalipto Embalagem 2L,5.58,3.98
19,Limpador Sensazione Casa & Perfume 1L,10.79,10.79
20,Casa e Perfume Sensazine 500Ml,5.98,5.98
21,Desengordurante Uau Squeeze 500Ml,7.98,7.98
22,Limpador Sensualidad Casa e Perfume 500Ml,5.98,5.98
23,Lustra Móvel Poliflor Lavanda 200Ml,12.78,12.78
24,Limpador Uau Multiuso Lavanda 500Ml,4.58,4.58
25,Lustra Móveis Poliflor Lavanda 200Ml,12.78,12.78
26,Desinfetante de Lavanda Lysoform 1L,14.98,14.98
27,Limpador Veja Perfumes Lavanda Oferta 500Ml,5.78,5.78
28,Desinfetante Vorel Lavanda Start 2L,5.58,3.98
29,Desinfetante Original Bruto Lysoform 1L,14.98,14.98
30,Veja Limpeza Pesada 2X1 500Ml Cloro Ativo,12.98,12.98
31,Limpa Telas Start 120Ml,16.58,16.58
32,Limpador para Banheiro X14 Tira Limo Refil Veja 500Ml,20.98,20.98
33,Cera Líquida Brilhowax Incolor 750Ml,12.98,12.98
34,Limpa Vidros Veja Vidrex Squeeze Oferta 500Ml,11.69,11.69
35,Limpador Uau Limpa Vidros Embalagem 500Ml,7.98,7.98
36,Desinfetante Minuano Floral 500Ml,3.78,3.78
37,Limpador Azulim Multiuso com Álcool para Inox Embalagem 550Ml,3.28,3.28
38,Limpador Uau Flores e Sonhos 500Ml,5.58,5.58
39,Gel Adesivo Pato Marine Rf 38G com Aparelho,24.98,24.98
40,Limpador Multiuso Veja Floral Oferta 500Ml,4.98,4.98
41,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.98,4.98
42,Desinfetante Batuta Lavanda Embalagem 2L,9.78,9.78
43,Limpador Multiuso Azulim Original Azul 500Ml,3.28,3.28
44,Desinfetante Lavanda Pinho Sol 500Ml,8.48,8.48
45,Desinfetante Pinho Sol Original 500Ml,8.48,8.48
46,Desinfetante Start Vorel Jasmim Embalagem 2L,5.58,3.98
47,Limpa Alumínio e Inox Magic Brilho Maçã Embalagem 500Ml,7.48,7.48
48,Cera Líquida Poliflor Brilho Máximo Incolor Oferta 750Ml,19.79,19.79
49,Soda Caustica Escorpião Embalagem 500G,22.48,22.48
50,Limpa Piso Uau Cerâmicas 750Ml,9.78,9.78
51,Sapólio Radium Pó Lavanda 300G,7.58,7.58
