,Produto,Preço Base,Preço Final
0,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",5.99,5.99
1,Água Sanitária Santa Clara Embalagem 2 Litros,4.98,4.98
2,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,5.99,5.99
3,Desinfetante Casa Km Casa & Perfume Passione Embalagem 1L,8.49,8.49
4,Alcool Zumbi Liquido Tradicional 46 Inpm 1 Lt,7.99,7.99
5,Limpador Multiuso Gold Original Veja 500Ml,4.69,4.69
6,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,6.99,6.99
7,Limpa Vidros Azulim Embalagem 500Ml,3.29,3.29
8,Desinfetante Batuta Lavanda Embalagem 2L,6.99,6.99
9,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.49,2.49
10,Desengordurante Uau Squeeze 500Ml,6.49,6.49
11,Limpador Casa e Perfume Sensualidad 1L,8.49,8.49
12,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,12.99,12.99
13,Desentupidor de Piá Diabo Verde Embalagem 300G,14.99,14.99
14,Bry Lustra Móveis de Lavanda Ingleza 200Ml,4.99,4.99
15,Casa e Perfume Sensazine 500Ml,4.89,4.89
16,Limpador Multiuso Uau Cloro Ativo 500Ml,6.99,6.99
17,Limpador Multiuso Azulim Original Azul 500Ml,2.79,2.79
18,Sapólio Radium Po com Cloro 300G,4.59,4.59
19,Limpador Sensualidad Casa e Perfume 500Ml,4.89,4.89
20,Limpador Azulim Azulejo Citrus Embalagem 1L,4.79,4.79
21,Limpador Uau Multiuso Flores e Folhas 500Ml,3.69,3.69
22,Limpador Multiuso Veja Floral Oferta 500Ml,4.99,4.99
23,Limpa Porcelanato Azulim Powder Lavanda Embalagem 750Ml,8.99,8.99
24,Limpador Multiuso Veja com Álcool 500Ml,4.99,4.99
25,Desinfetante Original Bruto Lysoform 1L,11.49,11.49
26,Cera Líquida Ingleza Maxx Incolor 750Ml,12.99,12.99
27,Limpador Azulim Multiuso com Álcool para Inox Embalagem 550Ml,2.79,2.79
28,Álcool Líquido Tradicional 46º Inpm Bacfree Coperalcool Embalagem 500Ml,5.89,5.89
29,Desinfetante Pinho Sol Original 500Ml,5.99,5.99
30,Limpa Piso Uau Cerâmicas 750Ml,6.99,6.99
31,Desinfetante Ypê Bak Lavanda 500Ml,2.99,2.99
32,Desinfetante Lavanda Pinho Sol 500Ml,5.89,5.89
33,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.99,4.99
34,Cera Super Tacolac 500Ml,8.99,8.99
35,Alcool Zulu Liquido Tradicional 46 Inpm 500Ml,5.99,5.99
36,Água Sanitária Superglobo Embalagem 1L,3.19,3.19
37,Desinfetante Batuta Floral Embalagem 2L,6.99,6.99
38,Desinfetante Bruto Suave Odor Lysoform 500Ml,5.89,5.89
39,Removedor de Cera Azulim 1L,11.19,11.19
40,Limpador Multiuso Super Globo Original Embalagem 500Ml,2.89,2.89
41,Limpa Pedra Start Pedrex Embalagem 2L,16.99,16.99
42,Desinfetante Ypê Bak Floral 500Ml,2.99,2.99
43,Desinfetante Líquido Original Lysoform 500Ml,5.99,5.99
44,Polidor para Metais Silvo 200Ml,18.99,18.99
45,Limpador Casa e Perfume Amable 500Ml,4.89,4.89
46,Limpador Casa e Perfume Intuizione New Embalagem 1L,8.49,8.49
47,Removedor King Plus 500Ml,9.98,9.98
