,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,10.98,10.98
1,Água Sanitária Qboa 1L,3.99,3.99
2,Água Sanitária Santa Clara 5L,11.98,11.98
3,Água Sanitária Classic Embalagem 2 Litros,5.89,5.89
4,Água Sanitária Santa Clara Embalagem 2 Litros,5.98,5.98
5,Água Sanitária Santa Clara Embalagem 1 Litro,3.39,3.39
6,Lustra Móveis Destac Lavanda 200Ml,8.99,8.99
7,Brilha Alumínio Uva Brilhaluminio 500Ml,2.89,2.89
8,Água Sanitária Classic 1Litro,3.39,3.39
9,Alcool Anhanguera 70 Embalagem 1 Litro,6.99,6.99
10,Soda Cáustica Escorpião 1Kg,31.98,31.98
11,Limpador Multiuso Uau Rosas Sedução 500Ml,3.99,3.99
12,Água Sanitária Super Globo Embalagem 2 Litros,6.89,6.89
13,Limpador Multiuso Gold Original Veja 500Ml,4.89,4.89
14,Limpador Agradable Casa e Perfume 1L,8.99,8.99
15,Pedra Sanitária Mil Aromas Fragrâncias Embalagem 25G,1.89,1.89
16,Limpa Box Uau Blindex 200Ml,12.89,12.89
17,Limpador Sanitário Lipex Caixa Acoplada Embalagem 50G,8.99,8.99
18,Limpador Sensazione Casa & Perfume 1L,8.99,8.99
19,Lustra Móvel Poliflor Lavanda 200Ml,9.98,9.98
20,Super Cloro Classic Extra Forte 2L,7.89,7.89
21,Tira Limo Veja Banheiro X14 500Ml,8.98,8.98
22,Sapólio Radium Pó Clássico,6.49,6.49
23,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,5.78,5.78
24,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,5.98,4.98
25,Limpador Uau Multiuso Flores e Folhas 500Ml,3.99,3.99
26,Limpador Uau Multiuso Lavanda 500Ml,3.99,3.99
27,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.49,4.49
28,Limpa Piso Uau Laminado 750Ml,9.98,9.98
29,Desinfetante Original Bruto Lysoform 1L,12.98,12.98
30,Limpador Limpeza Pesada Veja X-14 Grátis 20% de Desconto Frasco 500Ml,7.99,7.99
31,Soda Cáustica Yara 950G,14.98,14.98
32,Desentupidor de Piá Diabo Verde Embalagem 300G,18.98,18.98
33,Lustra Móveis Poliflor Lavanda 200Ml,9.98,9.98
34,Desengordurante Veja Limão Squeeze 500Ml,8.99,8.99
35,Limpador para Limpeza Pesada Cloro Ativo 2 em 1 com 20% de Desconto Veja 1L,13.98,13.98
36,Limp Alumínio Mix Embalagem 500Ml,2.79,2.79
37,Cera Líquida Incolor Brilho Fácil 750Ml,12.89,12.89
38,Limpador Multiuso Uau Cloro Ativo 500Ml,7.99,7.99
39,Desinfetante Pinho Bril Campos de Lavanda 500Ml,4.49,4.49
40,Limpador Diluível Ajax Fresh Limão 500Ml,8.99,8.99
41,Cera Líquida Brilhowax Incolor 750Ml,9.98,9.98
42,Limpador Azulim Multiuso com Álcool para Inox Embalagem 550Ml,2.49,2.49
43,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,4.49,4.49
44,Limpador Multiuso Ação Clareadora Uau 500Ml,3.69,3.69
45,Água Sanitária Superglobo Embalagem 1L,3.89,3.89
46,Desinfetante Batuta Floral Embalagem 2L,7.98,7.98
47,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,8.99,8.99
