,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,10.98,10.98
1,Água Sanitária Qboa 1L,3.99,3.99
2,Álcool Etílico Hidratado 70º Inpm Uzu 1L,6.99,6.99
3,Água Sanitária Santa Clara 5L,11.98,11.98
4,Água Sanitária Classic Embalagem 2 Litros,5.89,5.89
5,Kit Banheiro Azulim 500Ml,10.98,10.98
6,Lustra Móveis Destac Lavanda 200Ml,8.99,8.99
7,Brilha Alumínio Uva Brilhaluminio 500Ml,2.89,2.89
8,Água Sanitária Classic 1Litro,3.39,3.39
9,Alcool Anhanguera 70 Embalagem 1 Litro,6.99,6.99
10,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,11.98,11.98
11,Tira Limo Azulim Embalagem 500Ml,5.89,5.89
12,Soda Cáustica Escorpião 1Kg,31.98,31.98
13,Limpador Multiuso Uau Rosas Sedução 500Ml,3.99,3.99
14,Limpador Multiuso Gold Original Veja 500Ml,4.89,4.89
15,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.89,2.89
16,Cloro Super Cloro Classic Extra Forte 1 Litro,3.99,3.99
17,Limpador Casa e Perfume Sensualidad 1L,8.99,8.99
18,Pedra Sanitária Mil Aromas Fragrâncias Embalagem 25G,1.89,1.89
19,Limpa Box Uau Blindex 200Ml,12.89,12.89
20,Limpador Sensazione Casa & Perfume 1L,8.99,8.99
21,Cera Líquida Ingleza Bry Verde Embalagem 750Ml,6.99,6.99
22,Super Cloro Classic Extra Forte 2L,7.89,7.89
23,Sapólio Radium Pó Clássico,6.49,6.49
24,Limpador Uau Multiuso Flores e Folhas 500Ml,3.99,3.99
25,Limpador Cremoso Cif Original 450Ml,14.98,14.98
26,Limpador Uau Multiuso Lavanda 500Ml,3.99,3.99
27,Limpa Piso Uau Laminado 750Ml,9.98,9.98
28,Desinfetante Original Bruto Lysoform 1L,12.98,12.98
29,Limpador Limpeza Pesada Veja X-14 Grátis 20% de Desconto Frasco 500Ml,7.99,7.99
30,Soda Cáustica Yara 950G,14.98,14.98
31,Lustra Móveis Poliflor Lavanda 200Ml,9.98,9.98
32,Desentupidor de Piá Diabo Verde Embalagem 300G,18.98,18.98
33,Desengordurante Veja Limão Squeeze 500Ml,9.89,9.89
34,Limp Alumínio Mix Embalagem 500Ml,2.79,2.79
35,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,8.99,8.99
36,Desinfetante Santa Clara Herbal Embalagem 2 Litros,5.98,4.98
37,Cera Líquida Incolor Brilho Fácil 750Ml,12.89,12.89
38,Limpador Uau Limpa Vidros Embalagem 500Ml,8.99,8.99
39,Limpador Azulim Lavanda Embalagem 1L,7.99,7.99
40,Limpador Multiuso Uau Cloro Ativo 500Ml,7.99,7.99
41,Limpador Multiuso Veja Power Fusion Limão 500Ml,8.99,8.99
42,Desengordurante Azulim Limpeza Pesada Limão Embalagem 500Ml,6.98,6.98
43,Desinfetante Pinho Bril Campos de Lavanda 500Ml,4.49,4.49
44,Limpador Diluível Ajax Fresh Limão 500Ml,8.99,8.99
45,Limpador Multiuso Veja Floral 500Ml,4.89,4.89
46,Desinfetante Perfumado Azulim Mariner Embalagem 1L,6.49,6.49
47,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,8.99,8.99
48,Limpador Multiuso Veja Gold Campestre 500Ml,4.89,4.89
