,Produto,Preço Base,Preço Final
0,Alimento para Cães Dog Chow Adulto Pequeno Sachê 100g Carne,3.19,2.99
1,Alimento para Cães Pedigree Sachê 100g Ad.R.Med.Carne,3.45,2.99
2,Alimento para Cães Pedigree Sachê 100g Ad.R.Peq.Carne,3.45,2.99
3,Alimento para Cães Pedigree Sachê 100g Ad.R.Peq.Cordeiro,3.45,2.99
4,Alimento para Cães Pedigree Sachê 100g Ad.R.Peq.Frango,3.45,2.99
5,Alimento para Gato Kitekat Sachê 70g Carne,2.39,2.29
6,Alimento para Gato Kitekat Sachê 70g Frango,2.39,2.29
7,Alimento para Gato Kitekat Sachê 70g Peixe,2.39,2.29
8,Alimento para Gato Whiskas Sachê 85g Atum,3.45,3.29
9,Alimento para Gato Whiskas Sachê 85g Carne,3.45,3.29
10,Alimento para Gato Whiskas Sachê 85g Frango,3.45,3.29
11,Assadeira Lyor Antiaderente Aço Carbono Retangul.37x25.5x5cm,47.9,32.99
12,Baralho Copag 139un,17.99,11.99
13,Bifinhos para Cães Quatree Snacks 500g Carne,23.69,18.99
14,Bifinhos para Cães Quatree Snacks 500g Churrasco,23.69,18.99
15,Bifinhos para Cães Quatree Snacks 500g Frango,23.69,18.99
16,Bowl Lyor Porcelana Blue Garden 15x7.5cm,16.99,12.99
17,Brinquedo Altimar Collection Princesa Bule+ Xic.+Pir.+Colher,17.99,11.99
18,Brinquedo Bs Toys Joaninha Ref.362,26.59,18.99
19,Brinquedo Diviplast Caminhão Boiadeiro Ref.090,26.59,18.99
20,Cafuné Condicionador Hidratação e Desembaraço 300ml,35.59,15.99
21,Cafuné Condicionador Maciez e Brilho 300ml,35.59,15.99
22,Cafuné Shampoo Filhotes 300ml,33.8,15.99
23,Cafuné Shampoo Pelos Claros 300ml,33.8,15.99
24,Cafuné Shampoo Sem Fragrância 300ml,33.8,15.99
25,Carvão para Churrasco Costa 2.5kg,14.99,11.9
26,Filtro para Café de Papel Melitta 103 30un,4.55,3.95
27,Grelha Hp Dobrável Reta Gr1,42.9,24.99
28,Odorizante para Auto Proauto Breeze Gel 60g Carro Novo,9.99,7.69
29,Odorizante para Auto Proauto Breeze Gel 60g Lavanda,9.99,7.69
30,Odorizante para Auto Proauto Breeze Gel 60g Talco,9.99,7.69
31,Pilha Duracell Alcalina AAA Palito 2un,10.39,8.99
32,Pilha Eveready Alcalina Gold AA Pequena 4un,25.59,19.99
33,Prato Lyor de Porcelana Blue Garden Fundo 18cm,14.99,9.99
34,Prato Lyor de Porcelana Blue Garden Raso 26cm,29.9,18.99
35,Ração Papa Tudo Adulto 15kg Carne,69.6,59.9
36,Ração Papa Tudo Adulto 15kg Original,69.6,59.9
37,Ração Quatree Gourmet Gatos Castrados 1kg Delícias do Mar,21.9,18.99
38,Tábua para Corte Lyor Bambu 20x15x1cm,14.9,9.99
39,Vela São Domingos Santos Anjo da Guarda,20.99,13.99
40,Vela São Domingos Santos Divino Espírito Santo,20.99,13.99
41,Vela São Domingos Santos Jesus Cristo,20.99,13.99
42,Vela São Domingos Santos Nossa Senhora Aparecida,20.99,13.99
43,Vela São Domingos Santos Nossa Senhora Rainha da Paz,20.99,13.99
44,Vela São Domingos Santos Sagrado Coração de Jesus,20.99,13.99
45,Vela São Domingos Santos Sagrado Coração de Maria,20.99,13.99
46,Vela São Domingos Santos Santo Expedito,20.99,13.99
47,Vela São Domingos Santos São Judas Tadeu,20.99,13.99
48,Abridor Lata Hp Inox Un,6.49,6.49
49,Abridor Nedo Combinado Reforçado R.6 Un,7.36,7.36
50,Açucareiro Jaguar e Farinheiro Ref.0624 650ml,6.21,6.21
51,Agulha Nedo para Desentupir Fogão 2un,5.26,5.26
52,Agulheiro Nedo Cesta Un,6.37,6.37
53,Álcool Gel Ypê Antisséptico 70° 350g,15.74,15.74
54,Alimento Cães Pedigree Adulto 900g Carne e Vegetais,29.69,29.69
55,Alimento Cães Pedigree Adulto 900g Raças Pequenas,29.69,29.69
56,Alimento Cães Pedigree Adulto Raças Pequenas 2.7kg,75.79,75.79
57,Alimento Cães Pedigree Filhotes 900g,29.69,29.69
58,Alimento Gato Whiskas 900g Peixe,35.19,35.19
