,Produto,Preço Base,Preço Final
0,Kit Limpeza 2 Cloros de 500Ml + 1 Limpador Multiuso 500Ml Super Globo,11.69,11.69
1,Kit Multiuso Mais Perfume 500Ml Azulim 3Un,7.99,7.99
2,Limpador Multiuso Veja 10% Desconto 500Ml,4.65,4.65
3,"Desinfetante Bak Ypê Lavanda Leve 2L Pague1,8L",10.98,10.98
4,Água Sanitária Marina Embalagem 2L,5.19,5.19
5,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",5.98,5.98
6,Pedra Sanitária Sanilar Pinho Embalagem 25G,3.5,3.5
7,Água Sanitária Santa Clara 5L,12.9,12.9
8,Água Sanitária Santa Clara Embalagem 2 Litros,5.79,4.98
9,Kit Banheiro Azulim 500Ml,9.9,9.9
10,Água Sanitária Start Tuff Embalagem 5L,12.9,12.9
11,Lustra Móveis Ypê Lavanda 200Ml,7.9,7.9
12,Água Sanitária Santa Clara Embalagem 1 Litro,3.39,3.39
13,Sapólio Cremoso Radium Lavanda 250Ml,9.8,9.8
14,Kit Limpador Multiuso Azulim 550Ml 3Un,7.99,7.99
15,Água Sanitária Ypê 2L,8.98,8.98
16,Tira Limo Azulim Embalagem 500Ml,5.3,5.3
17,Kit Econômico Azulim Multiuso 4X1,12.98,12.98
18,Querosene Jacaré Lata 900Ml,35.9,35.9
19,Soda Cáustica Escorpião 1Kg,34.9,34.9
20,Limpador Multiuso Uau Rosas Sedução 500Ml,4.59,4.59
21,Limpador Multiuso Super Globo Floral Embalagem 500Ml,3.89,3.89
22,Limpador Agradable Casa e Perfume 1L,9.98,9.98
23,Limpador Multiuso Cif 500Ml Leve 3 Pague até 50% 3ºunidade Multiuso+Antibac,10.99,10.99
24,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,16.99,16.99
25,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,10.9,10.9
26,Tira Limo Veja Banheiro X14 500Ml,16.9,16.9
27,Pastilhas Ades Inspira Lavanda 20%Desc 3Un,7.49,7.49
28,Sapólio Radium Pó Clássico,8.9,4.99
29,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,5.49,5.49
30,Casa e Perfume Sensazine 500Ml,4.99,4.99
31,Limpador Uau Multiuso Flores e Folhas 500Ml,4.59,4.59
32,Desengordurante Uau Squeeze 500Ml,7.8,7.8
33,Limpador Uau Multiuso Lavanda 500Ml,4.59,4.59
34,Limpador Azulim Multiuso Embalagem 500Ml,3.49,2.99
35,Limpador Uau Perfumes Cuidado e Carinho 500Ml,5.4,5.4
36,Limpa Porcelanato Azulim Powder Lavanda Embalagem 750Ml,10.9,10.9
37,Desinfetante Bak Floral Ypê 2L,10.98,10.98
38,Desinfetante Original Bruto Lysoform 1L,15.5,15.5
39,Água Sanitária Ypê 1L,5.98,5.98
40,Cera Líquida Incolor Brilho Fácil 750Ml,14.9,14.9
41,Veja Limpeza Pesada 2X1 500Ml Cloro Ativo,9.9,9.9
42,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,4.65,4.65
43,Limpador Uau Limpa Vidros Embalagem 500Ml,8.48,8.48
44,Desinfetante Ypê Bak Lavanda 500Ml,4.19,4.19
45,Limpador Azulim Lavanda Embalagem 1L,7.98,5.99
46,Desinfetante Start Vorel Jasmim Embalagem 2L,4.99,4.99
47,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,7.9,7.9
48,Pastilha Adesiva Floral Pato 3 Unidades,10.9,10.9
49,Desinfetante Ypê Bak Floral 500Ml,4.19,4.19
50,Limpador Uau Flores e Sonhos 500Ml,5.4,5.4
51,Desinfetante Pinho Bril Campos de Lavanda 500Ml,4.7,4.7
52,Limpador Azulim Multiuso com Álcool para Inox Embalagem 550Ml,3.49,2.99
53,Cera Líquida Brilhowax Incolor 750Ml,12.3,12.3
54,Limpador Diluível Ajax Fresh Limão 500Ml,11.9,11.9
55,Limpador Multiuso Ação Clareadora Uau 500Ml,4.59,4.59
56,Limpador Multiuso Veja Floral Oferta 500Ml,4.65,4.65
57,Limpador Cif Banheiro Tira Limo com Cloro 450Ml,11.9,11.9
58,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,12.7,12.7
59,Desinfetante Lavanda Pinho Sol 500Ml,7.98,7.98
60,Limpador Multiuso Azulim Limão Verde 500Ml,3.49,2.99
61,Multiuso Limpa e Desinfecta Ação Bactericida Azulim 550Ml,3.49,2.99
62,Desinfetante Pinho Sol Original 500Ml,7.98,7.98
63,Limpador Multiuso Super Globo Lavanda 500Ml,3.89,3.89
64,Limpa Forno Diabo Verde Embalagem 250G,15.9,15.9
65,"Álcool Start 46,2º Garrafa 500Ml",5.79,5.79
66,Limpador Removedor de Gordura Cozinha Cif Sch 450Ml Refil,11.9,11.9
67,Lustra Móveis Poliflor Lavanda 500Ml,24.9,24.9
68,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,4.59,4.59
69,Limpador Bela Flore Casa e Perfume 500Ml,4.99,4.99
70,Desinfetante Multiuso Antibac Cif 500Ml,3.99,3.99
71,Desinfetante Santa Clara Floral Embalagem 2 Litros,5.49,5.49
72,Kit Limpador Uau Desengordurante Cozinha Limão 500Ml 2Un,10.99,10.99
73,Limpador Multiuso Floral Uau Embalagem 500Ml,4.59,4.59
74,Limpador Multiuso Azulim Citronela 500Ml,3.49,2.99
75,Limpador Multiuso Cereja Tropical Explosão de Perfume Veja 500Ml,4.58,4.58
76,Tira Limo Azulim Spray 500Ml,12.9,12.9
77,Desinfetante Omo Lavanda 1.75L,15.49,13.98
78,Cera Líquida Ingleza Max Ardosia Verde Embalagem 750Ml,16.5,16.5
79,Limpador Multiuso Frescor do Campo Azulim 500Ml,3.49,2.99
80,Desinfetante Scarlim Rosas e Jasmim 2L,5.69,5.69
81,Limpador Multiuso Azulim Florata 550Ml,3.49,2.99
82,Limpa Vidros Cif Refil 450Ml,11.49,11.49
83,Desinfetante Azulim Violette Embalagem 1L,5.98,5.98
84,Limpador Casa e Perfume Speciale Embalagem 500Ml,4.99,4.99
85,Pedra Sanitária Bosque de Pinho Oferta Glade 25G,4.89,4.89
86,Alcool Flops Tradicional 46.2 Inpm 500Ml,4.99,4.99
87,Limpador Multiuso Azulim Laranja 500Ml,3.49,2.99
88,Cera Polylar Incolor 750Ml,6.9,6.9
89,Limpador Multiuso Uau Flores e Frescor Ingleza 500Ml,4.59,4.59
90,Desinfetante Pinho Ypê Lavanda 500Ml,5.98,5.98
91,Limpador Multiuso Super Globo Original Embalagem 500Ml,3.89,3.89
92,Limpador Perfumado Super Globo Momentos de Tranquilidade Embalagem 500Ml,4.99,4.99
93,Desinfetante Trop Pinho Lavanda Inglesa 500Ml,4.29,4.29
94,Óleo de Peroba King 100Ml,10.9,10.9
95,Limpa Pisos Cif Perfumes Envolvente 450Ml,6.6,6.6
96,Desinfetante Eucalipto Santa Clara 2L,5.49,5.49
97,Desinfetante de Uso Geral Lavanda Omo 500Ml,5.98,5.98
98,Limpa Pisos Cif Perfumes Relaxante Frasco 450Ml,6.6,6.6
99,Desengordurante Spray Veja Cozinha Limão Oferta 500Ml,22.9,22.9
