,Produto,Preço Base,Preço Final
0,Limpador Multiuso Veja 10% Desconto 500Ml,5.49,5.49
1,Água Sanitária Santa Clara 5L,13.99,13.99
2,Álcool 70% Asseptgel Start Embalagem 500Ml,7.99,7.99
3,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",4.99,4.99
4,Pedra Sanitária Sany Embalagem 25G,2.99,2.99
5,Alcool Anhanguera 70 Embalagem 1 Litro,9.99,9.99
6,Água Sanitária Santa Clara Embalagem 1 Litro,3.59,3.59
7,Limpador Cremoso Cif Original 250Ml,10.49,10.49
8,Álcool Líquido 70º Everest Embalagem 1L,12.99,12.99
9,Limpador Multiuso Uau Rosas Sedução 500Ml,4.59,4.59
10,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.99,2.99
11,Água Sanitária Super Globo Embalagem 2 Litros,6.99,6.99
12,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,6.99,6.99
13,Limpador Multiuso Gold Original Veja 500Ml,5.49,5.49
14,Desinfetante Suprema Lavanda Bouquet Embalagem 2 Litros,7.49,7.49
15,Desinfetante Flores do Campo Suprema 2L,7.49,7.49
16,Desinfetante Original Bruto Lysoform 1L,15.99,15.99
17,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,6.99,6.99
18,Limpador Uau Cloro Ativo Limpeza Pesada 500Ml,7.99,7.99
19,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,14.99,14.99
20,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.49,4.49
21,Desengordurante Uau Squeeze 500Ml,7.99,7.99
22,Limpador Uau Multiuso Lavanda 500Ml,4.59,4.59
23,Desinfetante Ypê Bak Lavanda 500Ml,4.89,4.89
24,Desinfetante Santa Clara Herbal Embalagem 2 Litros,6.99,6.99
25,Sapólio Radium Po com Cloro 300G,6.99,6.99
26,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,6.99,6.99
27,Limpador Multiuso Uau Cloro Ativo 500Ml,10.99,10.99
28,Soda Cáustica Yara 950G,16.99,16.99
29,Desinfetante Batuta Floral Embalagem 2L,5.99,5.99
30,Pedra Sanitária Sany Mix Lavanda Embalagem 25G,2.99,2.99
31,Desinfetante Pinho Trop 1L,7.99,7.99
32,Limpador Limpeza Pesada Veja 500Ml,8.79,8.79
33,Limpador Perfumado Uau Requinte Embalagem 1 Litro,6.99,6.99
34,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,5.49,5.49
35,Bry Lustra Móveis de Lavanda Ingleza 200Ml,7.99,7.99
36,Água Sanitária Superglobo Embalagem 1L,3.89,3.89
37,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,4.49,4.49
38,Pedra Sanitária Master Sortida 25G,1.99,1.99
39,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,5.49,5.49
40,Limpador Uau Brisa Frescor 500Ml,4.49,4.49
41,Pedra Sanitária Marine Oferta Pato,2.99,2.99
42,Soda Caustica Escorpião Embalagem 500G,23.99,23.99
43,Desinfetante Minuano Floral 500Ml,3.99,3.99
44,Limpador Veja Gold Limpeza Pesada Oferta 1L,16.9,16.9
45,Limpador Multiuso Veja Floral Oferta 500Ml,5.49,5.49
46,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,11.99,11.99
47,Desinfetante Batuta Lavanda Embalagem 2L,5.99,5.99
48,Desinfetante Santa Clara Floral Embalagem 2 Litros,6.99,6.99
49,Desinfetante Suprema Extrato de Eucalipto Embalagem 2L,7.49,7.49
50,Desinfetante Pinho Sol Lavanda 1000Ml,15.99,15.99
51,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,4.59,4.59
52,Desinfetante Pinho Bril Campos de Lavanda 1000Ml,9.99,9.99
53,Desinfetante Pinho Trop Fresh 500Ml,4.69,4.69
54,Pedra Sanitária Sany Eucalipto Embalagem 25G,2.99,2.99
55,Pedra Sanitária Sany Mix Jasmim Embalagem 25G,2.99,2.99
56,Limpador Casa e Perfume Passione Embalagem 500Ml,4.99,4.99
57,Desinfetante Pinho Bril Silvestre Plus 1L,9.99,9.99
58,Limpador Multiuso Politriz Floral 500Ml,3.29,3.29
59,Desinfetante Pinho Sol Original 1000Ml,15.99,15.99
60,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,5.99,5.99
61,Limpador Uau Harmonia 500Ml,4.49,4.49
62,Limpador Multiuso Uau Flores e Frescor Ingleza 500Ml,4.59,4.59
63,Limpador Uau Perfumes Brisa e Frescor Ingleza Frasco 1L 20% de Desconto,6.99,6.99
64,Limpador Multiuso Super Globo Original Embalagem 500Ml,3.89,3.89
65,Desinfetante Eucalipto Santa Clara 2L,6.99,6.99
66,Desinfetante Pinho Trop Pinho e Menta 500Ml,4.69,4.69
67,Tira Ferrugem Semorin Embalagem 50Ml,10.99,10.99
68,Cera Ingleza Ardosia Incolor Embalagem 750Ml,11.99,11.99
69,Desinfetante Batuta Eucalipto Embalagem 2L,5.99,5.99
70,Desinfetante Trop Pinho Lavanda Inglesa 500Ml,4.69,4.69
71,Desinfetante Suprema Pinho Embalagem 2 Litros,7.49,7.49
72,Limpador Multiuso Tradicional Lavanda Politriz Embalagem 500Ml,3.29,3.29
73,Limpador Limpeza Pesada 4 em 1 Alta Performance Uau 500Ml,5.79,5.79
74,Desinfetante Minuano Eucalipto 500Ml,3.99,3.99
75,Desinfetante Líquido Pureza do Algodão Lysol 500Ml,4.99,4.99
76,Limpador Multiuso Tudo Lavanda 500Ml,3.29,3.29
77,Desinfetante Pinho Trop Pínho Menta Embalagem Leve 1L Pague 900Ml,7.99,7.99
78,Desinfetante Pinho Trop Limão Embalagem 500Ml,4.69,4.69
79,Cera Líquida Ingleza Brilhowax Vermelha Embalagem 850Ml,12.99,12.99
80,Querosene Solar 900Ml,19.99,19.99
81,Multi Uso Politriz Laranja Embalagem 500Ml,3.29,3.29
82,Agua Sanitaria Bom Fort 1L,2.89,2.89
83,Limpadores Escorpião Embalagem 1Kg,36.99,36.99
84,Cloro Bom Fort Caixa com 12 Uni 1L,4.79,4.79
85,Cloro Bom Fort 5L,18.99,18.99
86,Desinfetante Eucalipto Only,7.99,7.99
87,"Álcool Everest 92,8º Embalagem 1 Litro",12.99,12.99
88,Ácido Muriático Mais Embalagem 1 Litro,7.99,7.99
89,Bom Ar Air Wick Campos de Lavanda 360Ml,15.99,15.99
90,Desodorizador Aerossol Lavanda Oferta Especial Glade 360Ml,15.75,15.75
91,Detergente Ypê Clear 500Ml,2.49,2.49
92,Detergente Ypê Neutro 500Ml,2.49,2.49
93,Detergente Coco Ypê 500Ml,2.49,2.49
94,Detergente Limpol Coco 500Ml,2.59,2.59
95,Detergente Ypê Limão 500Ml,2.49,2.49
96,Detergente Líquido Neutro Limpol 500Ml,2.59,2.59
97,Detergente Líquido Lava Louça Minuano 1300 Coco 500Ml,2.49,2.49
98,Detergente Limpol Maçã 500Ml,2.59,2.59
99,Detergente Líquido Lava Louças Minuano 1300 Neutro 500Ml,2.49,2.49
100,Detergente Líquido Suprema Coco Embalagem 500Ml,1.89,1.89
101,Detergente Líquido Suprema Neutro Embalagem 500Ml,1.89,1.89
102,Detergente Limpol Limão 500Ml,2.59,2.59
103,Detergente Líquido Maçã Ypê 500Ml,2.49,2.49
104,Detergente Líquido Suprema Natural Clear Embalagem 500Ml,1.89,1.89
105,Detergente Líquido Suprema Limão Embalagem 500Ml,1.89,1.89
106,Detergente Líquido Lava Louça Minuano 1300 Maçã 500Ml,2.49,2.49
107,Detergente Líquido Suprema Frutas Vermelhas Embalagem 500Ml,1.89,1.89
108,Pasta Multiuso Cristal Rosa 500G,7.99,7.99
109,K-Othrine 30Ml,17.99,17.99
110,Repelente Elétrico Raid Líquido Oferta Refil 2Un,25.99,25.99
111,Inseticida Mata Baratas Baygon 360Ml,15.99,15.99
112,"Repelente Elétrico Líquido 45 Noites Raid Family Caixa 2 Unidades 32,9Ml",29.99,29.99
113,Inseticida Aerosol Ação Total Óleo de Eucalipto Baygon 360Ml,15.99,15.99
114,Inseticida Boa Noite Original Espiral 96G,5.99,5.99
115,"Repelente Elétrico Liquido 45 Noites Aparelho e Refil Original Raid 32,9M",18.99,18.99
116,Inseticida Aerossol Ultra Baygon Embalagem Econômica 360Ml,15.99,15.99
117,Inseticida Bayer K-Othrine Barata Embalagem 10G,15.5,15.5
118,Kit Aparelho + Repelente Elétrico Líquido Sbp Refil 35Ml,14.99,14.99
119,Naftalina Master 25G,2.99,2.99
120,Inseticida Raid Pastilha 12H Refil 12Un,6.49,6.49
121,Lava Roupas Tixan Ypê Maciez 1Kg,10.99,10.99
122,Lava-Roupas Pó Lavagem Perfeita Omo 800G,15.99,15.99
123,Sabão em Pó Omo Lavagem Perfeita 400G,9.99,9.99
124,Sabão em Barra Neutro Ypê 1Kg,16.99,16.99
125,Sabão em Pó Urca Maxx Sachê 1Kg,7.99,7.99
126,Cloro Santa Clara Super Forte Unidade 2L,10.99,10.99
127,Lava Roupas em Pó Brilhante Limpeza Total 800G,12.99,12.99
128,Lava Roupas em Pó Sachê Baby Soft 1Kg,8.99,8.99
129,"Tira Manchas Suprema Ultra Remoção Embalagem 1,5L",9.49,9.49
130,Lava Roupas em Pó Tixan Ypê Primavera 800G,13.99,13.99
131,"Sabão em Pó Urca Casa & Roupa Pacote 1,6Kg",8.99,8.99
132,"Tira Manchas Suprema Ultra Branqueador Embalagem 1,5L",9.49,9.49
133,Lava-Roupas Líquido Omo Lavagem Perfeita Sachê 900Ml Refil Econômico,13.99,13.99
134,Lava-Roupas Líquido Omo Lavagem Perfeita Galão 3L,48.99,48.99
135,Amaciante Comfort Tradicional Explosao Azul 1.8L,19.9,19.9
136,Lava Roupas em Pó Concentrado Maciez Tixan Ypê 800G,13.99,13.99
137,"Lava Roupas em Pó Limpeza Total para Roupas Brancas e Coloridas Brilhante Sachê 1,6Kg",20.99,20.99
138,"Lava-Roupas em Pó Concentrado Primavera Tixan Ypê 1,6Kg",20.99,20.99
139,"Lava-Roupas em Pó Concentrado Maciez Tixan Ypê Caixa Leve 1,6Kg Pague 1,52Kg",22.9,22.9
140,Lava Roupas Líquido Vida Macia Bebê Embalagem 500Ml,10.99,10.99
141,Tira Manchas Gel Multiuso Vanish 500Ml,12.99,12.99
142,Lava-Roupas em Pó Concentrado Maciez Tixan Ypê 400G,6.99,6.99
143,Amaciante para Roupinhas de Bebê Vida Macia Camomila Embalagem 1L,10.99,10.99
144,Amaciante Baby Soft Toque de Carinho Azul Embalagem 2L,7.99,7.99
145,Sabão em Barra Glicerinado Neutro Ypê 180G,3.99,3.99
146,Amaciante para Roupinhas de Bebê Vida Macia Amêndoas Embalagem 1Lt,10.99,10.99
147,Sabão em Pó Minuano Ação Profunda Sachê 900G,10.99,10.99
148,Sabão em Barra Glicerinado Neutro Minuano 1Kg,19.99,19.99
149,Amac Mon Bijou 2L Azul,10.99,10.99
150,Amaciante Baby Soft Toque de Cuidado 2L,7.99,7.99
151,Detergente Lava Roupas em Pó Surf 5Em1 Lavanda 800G,10.99,10.99
152,Sabão Líquido Vida Macia Bebê Casa Km 1L,18.99,18.99
153,Amaciante Ypê Aconchego 500Ml,4.29,4.29
154,Amaciante de Roupas Alegres Encantos Suprema 2L,6.99,6.99
155,Amaciante Baby Soft Toque Envolvente 2L,7.99,7.99
156,Tira Manchas Vanish Super Barra 75G,9.99,9.99
157,Amaciante Baby Soft Toque de Maciez 2L,7.99,7.99
158,Lava-Roupas em Pó Concentrado Primavera Tixan Ypê 400G,6.99,6.99
159,Amaciante Amacitel Azul Toque de Poesia Embalagem 2L,8.99,8.99
160,Amaciante Diluído Toque Sedutor Baby Soft 2L,7.99,7.99
161,Amaciante Concentrado Comfort Intense Cuidado Essencial 500Ml,12.99,12.99
162,Anil Imperial Colman 90G,19.9,19.9
163,Sabão em Barra Ufe Coco 1Kg,21.99,21.99
164,Sabão em Pedra Azul Limpeza Perfumada Minuano 5X180g,19.99,19.99
165,Tira Manchas Vanish Karpex Carpetes e Tapetes 500Ml,18.99,18.99
166,Sabão Líquido para Roupas de Coco Ola 500Ml,16.99,16.99
167,Amaciante Concentrado Carinho e Conforto Uau 500Ml,9.99,9.99
168,Sabão Líquido Coquel Coco 500Ml,12.99,12.99
169,Sabão em Pó Minuano Coco Caixa 500G,11.99,11.99
170,Amaciante Minuano Clássico 500Ml,4.49,4.49
171,Cloro Santa Clara Super Forte Embalagem 5 Litros,22.9,22.9
172,Desinfetante Ufe Bactericida Original 1Lt,8.99,8.99
173,Esponja de Aço Bombril Pacote 60G,2.49,2.49
174,Esponja para Louça Scotch Brite Limpeza Pesada Leve4 Pague3,7.99,7.99
175,Pano de Piá Alvejado Alklin 28X30cm Embalagem 1 Un,2.49,2.49
176,Esponja de Limpeza Pesada Scotch Brite,3.6,3.6
177,Esponja de Limpeza Extrema Scotch-Brite 4Un,7.99,7.99
178,Rodo de Plástico Eva Duplo 30Cm Guirado Embalagem 1 Un,11.99,11.99
179,Esponja Scotch Brite Não Risca Azul 1 Un,3.7,3.7
180,Saco de Lixo Forte Reforçado 100L 20 Un,14.99,14.99
181,Rodo Plástico Brubalar D+ Unidade 40Cm Ref 410,10.99,10.99
182,Saco de Lixo Forte 30L 55 Un,14.99,14.99
183,Capa para Rodo Alklin 40X50cm 1 Un,7.99,7.99
184,Palha de Aço Açobom N2 Embalagem 22G,1.4,1.4
185,Esponja Prateada Scotch-Brite,9.99,9.99
186,Esponja Grill Scotch-Brite,8.99,8.99
187,Esponja para Panelas Antiaderentes Scotch Brite,3.69,3.69
188,Esponja Multiuso Limpeza Pesada 3M Tinindo Embalagem 4 Un,4.99,4.99
189,Esponja Metálica Scotch Brite Espiral 1 Un,6.59,6.59
190,Saco para Lixo Forte 15Lt com 90Und,14.99,14.99
191,Esfregão de Aço Desoral com Cabo 1Un,4.99,4.99
192,Palha de Aço Gavião N1 Embalagem 1 Un,1.4,1.4
193,Vassoura Princezinha Nº5 1Un,33.9,33.9
194,Saco de Lixo Lixo Forte Reforçado 100L 5 Un,5.99,5.99
195,Saco de Lixo Lixo Forte 50L 10 Un,4.69,4.69
196,Saco de Lixo Lixo Forte 100L 5 Un,4.69,4.69
197,Desentupidor de Vaso Sacramento com Cabo 60Cm Un,14.99,14.99
198,Saco de Lixo Lixo Forte 15L 20 Un,4.69,4.69
199,Saco de Lixo Lixo Forte Reforçadão 100 Litros 20Un,19.99,19.99
200,Saco de Lixo Lixo Forte Reforçado 60L 10 Un,5.99,5.99
201,Saco de Lixo Forte 50L 1 Rolo,14.99,14.99
202,Desentupidor de Pia Sacramento 1Un,9.99,9.99
203,Saco de Lixo 30L Lixo Forte 10Un,4.69,4.69
204,Pet Outros Medicamentos Forte Saco 100L,21.99,21.99
205,Açúcar Refinado União 1Kg,5.49,5.49
206,Açúcar Cristal Tryunpho 5Kg,15.59,15.59
207,Açúcar Cristal Euroçucar Pacote 5Kg,15.59,15.59
208,Açúcar Cristal Tryumpho 2Kg,8.99,8.99
209,Açúcar Cristal Tryumpho 1Kg,4.99,4.99
210,Açucar União Demerara 1Kg,7.49,7.49
211,Adoçante Sacarina Zero Cal 100Ml,7.99,7.99
212,Adoçante com Stevia Magro 80Ml,9.99,9.99
213,Adoçante Líquido Sacarina Adocyl 100Ml,6.99,6.99
214,Adoçante Zero Cal Embalagem Leve 200Ml Pague 180Ml,13.99,13.99
215,Adoçante Stevia Líquido Linea 25Ml,9.99,9.99
216,Açúcar Cristal Eurocucar Embalagem 1Kg,4.99,4.99
217,Adoçante Dietético Líquido Magro 100Ml,5.89,5.89
218,Adoçante Líquido Assugrin Embalagem 100Ml,5.99,5.99
219,Açúcar de Confeiteiro União Glaçúcar Pacote 500G,3.99,3.99
220,Adoçante Dietético Líquido Assugrin 200Ml,9.59,9.59
221,Filé de Tilápia Kg,29.9,29.9
222,Arroz Camil Agulhinha - 5Kg,20.49,20.49
223,Arroz Bianco Tipo 1 Sepé 5Kg,19.99,19.99
224,Arroz Tia Ju 5Kg,19.99,19.99
225,Arroz Bianco Tipo 1 Sepé 2Kg,9.99,9.99
226,Arroz Prato Fino Tipo1 2Kg,13.99,13.99
227,Arroz Bianco Tipo 1 Sepé 1Kg,4.99,4.99
228,Arroz Prato Fino 1Kg Tp1,6.99,6.99
229,Arroz Mundial 5Kg,15.99,15.99
230,Arroz Branco Tio João T1 5Kg,23.99,23.99
231,Arroz Integral Prato Fino Pacote 1Kg,7.99,7.99
232,Arroz Branco Tryumpho 1Kg,4.99,4.99
233,Fubá Mimoso Fino Sinhá 1Kg,4.69,4.69
234,Farinha de Trigo Vilma Pacote 1Kg,6.89,6.89
235,Farofa de Mandioca Tradicional Yoki Embalagem 250G,4.89,4.89
236,Amido de Milho Pacha Embalagem 500G,4.99,4.99
237,Farinha de Trigo com Fermento Vilma 1Kg,6.99,6.99
238,Farinha de Mandioca Anchieta Branca 1Kg,5.99,5.99
239,Tapioca Pacha Embalagem 500G,6.99,6.99
240,Farinha de Trigo Original Tipo 1 Globo Pacote 1Kg,5.49,5.49
241,Farinha de Mandioca Pachá Torrada Embalagem 1Kg,6.99,6.99
242,Farinha de Mandioca Zumbi Torradinha 1Kg,5.99,5.99
243,Farofa Pronta de Mandioca Pacha Sabor Bacon Embalagem 300G,3.99,3.99
244,Amido de Milho Maizena Tradicional 200G,4.99,4.99
245,Fubá Mimoso Pacha Embalagem 1Kg,5.49,5.49
246,Farinha de Mandioca Zumbizinha 1Kg,5.89,5.89
247,Farinha de Rosca Pacha 500G,7.89,7.89
248,Polvilho Doce Marinez Embalagem 1Kg,11.59,11.59
249,Polvilho Azedo Marinez Embalagem 1Kg,11.59,11.59
250,Farinha Flocão de Milho Pachá 500G,4.29,4.29
251,Farofa Pronta de Mandioca Pacha Embalagem 250G,3.99,3.99
252,Farinha de Mandioca Pacha Branca Embalagem 1Kg,6.99,6.99
253,Fubá de Milho Sinhá Pré Cozido 1Kg,5.99,5.99
254,Polvilho Azedo Pacha Embalagem 1Kg,9.99,9.99
255,Farinha de Trigo Integral Vilma Embalagem 500G,4.49,4.49
