,Produto,Preço Base,Preço Final
0,Inseticida Mata Baratas Kelldrin Barakell Gel Embalagem 10G,9.9,9.9
1,Amaciante Concentrado Comfort Intense Puro Cuidado 500Ml,8.0,8.0
2,Amaciante Concentrado Fofo Cheirinho de Infância 500Ml,15.62,15.62
3,Frango Congelado Perdigão Na Brasa Sobrecoxa Ao Molho Chimichurri Embalagem 800G,16.0,16.0
4,100% Vegetal Burger Seara Gourmet 310G,15.0,15.0
5,Água de Coco Esterilizada Kero Coco 200Ml,3.4,3.4
6,Energético Monster Khaos Lata 473Ml,12.1,12.1
7,Refrigerante Schweppes Citrus 350Ml,8.0,8.0
8,Néctar Tial Kids Maracujá Caixa 200 Ml,2.0,2.0
9,Cerveja Coronita Extra 210Ml,45.0,45.0
10,Cerveja Pilsen Chopp Brahma 350Ml,45.0,45.0
11,Cerveja Bohemia Lata 15Un 269Ml,45.0,45.0
12,Cerveja Stella Artois 410Ml,45.0,45.0
13,Cerveja Pilsen Skol 473Ml,45.0,45.0
14,Gin Beefeater London Dry Inglês 750Ml,93.5,93.5
15,Whisky Old Parr 18 Anos 750Ml,364.84,364.84
16,Cachaça Nacional São Francisco 970Ml,23.72,23.72
17,"Bebida Mista Alcoólica Gaseificada Watermelon, Mint & Tonic Infusions Spritz Smirnoff 269Ml",6.9,6.9
18,Aperitivo Cynar Garrafa 900Ml,85.17,85.17
19,Whisky Grand Old Parr 12 Anos 1L,135.91,135.91
20,Gin Beefeater Pink 750Ml,117.98,117.98
21,Vodka Ketel One Botanical Cucumber & Mint 750Ml,110.45,110.45
22,Vodka Ketel Garrafa 1 Litro,96.18,96.18
23,Sake Daiti Jun 670Ml,34.93,34.93
24,Tequila Don Julio Blanco Garrafa 750Ml,511.6,511.6
25,Smirnoff Ice Original 275Ml,6.4,6.4
26,Bebida Vodka Smirnoff Ice 269Ml,6.43,6.43
27,Shampoo Pom Pom Camomila Embalagem 200Ml,7.83,7.83
28,Condicionador Infantil Camomila Pom Pom 200Ml,9.44,9.44
29,Shampoo Suave Pom Pom 220Ml,7.83,7.83
30,Shampoo Lisos Te Quero Monange 325Ml,5.39,5.39
31,Shampoo Anticaspa Flor de Cerejeira Clear 200Ml,15.7,15.7
32,Shampoo de Babosa + Óleos Seda 325Ml,7.78,7.78
33,Kit Seduction D-Pantenol Shampoo e Condicionador 800Ml,27.97,27.97
34,Shampoo Nutri Ouro Eudora Siage 250Ml,27.97,27.97
35,Condicionador Óleo de Óleo de Coco & Ylang Ylang Beauty & Planet 300Ml,23.99,23.99
36,Fralda Geriátrica Plus Média Bigfral com 9 Unidades,21.39,21.39
37,Biscoito Aymoré Tortini Trufa 90G,4.2,4.2
38,Biscoito Recheado de Morango Trakinas 126G,2.34,2.34
39,Biscoito Aymoré Tortini Chocolate 90G,4.2,4.2
40,Biscoito Doce Aymoré Maizena 200G,2.0,2.0
41,Biscoito Aymoré Tortini Morango 90G,4.2,4.2
42,Biscoito Doce Recheado - Trakinas Chocolate Embalagem 126G,2.23,2.23
43,Choco Biscuit Ao Leite Bauducco 80G,4.0,4.0
44,Biscoito Aymoré Wafer Morango 105G,3.2,3.2
45,Aymoré Biscoito Recheado Morango 120G,2.8,2.8
46,Biscoito Doce Maizena Aymoré 375G,4.5,4.5
47,Aymoré Biscoito Recheado Brigadeiro 120G,5.8,5.8
48,Biscoito Recheado Baunilha Gulosos Bauducco 140G,3.0,3.0
49,Biscoito Recheado Mini Oreo Original 35G,24.04,24.04
50,Cookies Visconti Original Embalagem 60G,12.0,12.0
51,Choco Biscuit Meio Amargo Bauducco 80G,4.0,4.0
52,Cookies de Chocolate Visconti Embalagem 60G,2.0,2.0
53,Biscoito Wafer Sabor Limão Aymoré 115G,6.0,6.0
54,Biscoito Recheado Chocolate e Morango Trakinas 126G,2.24,2.24
55,Biscoito Doce Recheado Bauducco Moran 140G,12.0,12.0
56,Biscoito Doce Bauducco Maizena Embalagem 170G,5.0,5.0
57,Biscoito Aymoré Maria 200G,2.0,2.0
58,Biscoito Doce Recheado Chocolate Bauducco 140G,3.0,3.0
59,Biscoito Doce Aymoré Coco 200G,4.8,4.8
60,Biscoito Trakinas Chocolate Branco e Preto 126G,2.23,2.23
61,Biscoito Waffer Sabor Morango Aymoré 105G,3.0,3.0
62,Biscoito Aymoré Wafer Especial Chocolate Branco 80G,5.0,5.0
63,Aymoré Biscoito Recheado Choco Creme 120G,5.8,5.8
64,Biscoito Aymoré Wafer Especial Chocolate 80G,5.0,5.0
65,Biscoito Recheado Oreo Chocolate Multipack 144G,4.67,4.67
66,Biscoito Maça e Canela Multipack Belvita 75G,3.69,3.69
67,Biscoito Champanhe Bauducco com Açúcar Cristal Pacote 150G,12.0,12.0
68,Biscoito Cookie Choco Xtreme Chocolate Toddy 47G,7.8,7.8
69,Biscoito Recheado Sabor Chocolate Oreo 90G,2.81,2.81
70,Biscoito Recheado Milkshake de Morango Oreo 90G,2.81,2.81
71,Biscoito Tortuguita Arco Morango 43G,15.0,15.0
72,Biscoito Recheado Oreo Milkshake Morango 4 Pacotes de 36Gr,4.44,4.44
73,Biscoito Tortuguita Wafer Morango 85G,2.6,2.6
74,Biscoito Cookie Lacta Laka 80G,3.82,3.82
75,Biscoito Lacta Cookies Shot 80G,3.82,3.82
76,Cookie Lacta Diamante Negro 80G,3.82,3.82
77,Biscoito Cookie Lacta Ao Leite 80G,3.82,3.82
78,Cookies Visconti Aveia e Passas Embalagem 60G,2.0,2.0
79,Biscoito Doce Integral Belvita Cacau e Cereais Embalagem 75G,3.69,3.69
80,Biscoito Mel Cacau Belvita 25G,3.69,3.69
81,Biscoito Tortuguita Chocolate 12 Unidades 43G,15.0,15.0
82,Biscoito Integral Ao Leite com Aveia Belvita Pacote 90G,3.69,3.69
83,Sequilhos Heleninha Leite 200G,6.0,6.0
