,Produto,Preço Base,Preço Final
0,Água Sanitária Santa Clara Embalagem 2 Litros,5.98,4.98
1,Água Sanitária Santa Clara Embalagem 1 Litro,3.29,3.29
2,Água Sanitária Super Globo Embalagem 2 Litros,6.39,6.39
3,Sapólio Radium Pó Clássico,5.29,4.99
4,Limpador Uau Multiuso Lavanda 500Ml,4.39,4.39
5,Limpador Uau Flores e Sonhos 500Ml,4.49,4.49
6,Cera Líquida Brilhowax Incolor 750Ml,9.98,9.98
7,Limpador Multiuso Ação Clareadora Uau 500Ml,4.39,4.39
8,Desinfetante Batuta Floral Embalagem 2L,7.98,7.98
9,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.48,4.48
10,Desinfetante Batuta Lavanda Embalagem 2L,7.98,7.98
11,Limpador Uau Multiuso Cloro Ativo 5 em 1 Lavanda 500Ml,7.98,7.98
12,Limpador Mr Músculo Limpa Limo Oferta 500Ml,18.5,18.5
13,Desinfetante Ypê Bak Floral 1 Litro,5.39,5.39
14,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,4.39,4.39
15,Desinfetante Santa Clara Floral Embalagem 2 Litros,5.98,5.98
16,Limpador Multiuso Floral Uau Embalagem 500Ml,4.39,4.39
17,Limpador Perfumado Flores e Sonhos Uau 500Ml,4.49,4.49
18,Limpador Uau Multiuso Folhas Verdes Embalagem 500Ml,4.39,4.39
19,Desinfetante Bak Ypê Eucalipto Embalagem 1 Litro,5.39,5.39
20,Uau Cloro Ativo Limpa sem Esforço 4 em 1 Embalagem 500Ml,17.9,17.9
21,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,7.98,7.98
22,Saponáceo com Detergente Sapólio Radium Clássico Embalagem 300G,5.29,4.99
23,Desinfetante Batuta Eucalipto Embalagem 2L,7.98,7.98
24,Desinfetante de Eucalipto Kalipto 750Ml,4.29,4.29
25,Desinfetante Pinho Sol 2X Poder 1L,8.98,8.98
26,Cera Ingleza Brilhowax Incolor Embalagem 850Ml,9.98,9.98
27,Detergente Ypê Clear 500Ml,2.59,2.59
28,Detergente Ypê Neutro 500Ml,2.59,2.59
29,Detergente Coco Ypê 500Ml,2.59,2.59
30,Detergente Líquido Limpol Cristal Embalagem 500Ml,2.39,2.39
31,Detergente Ypê Limão 500Ml,2.59,2.59
32,Detergente Ypê Clear Care 500Ml,2.59,2.59
33,Detergente Ypê Capim Limão 500Ml,2.59,2.59
34,Detergente Líquido Neutro Limpol 500Ml,2.39,2.39
35,Detergente Líquido Azulim Neutro 500Ml,1.98,1.98
36,Detergente Azulim Coco 500Ml,1.98,1.98
37,Detergente Limpol Maçã 500Ml,2.39,2.39
38,Detergente Líquido Azulim Citrus 500Ml,1.98,1.98
39,Detergente Limpol Limão 500Ml,2.39,2.39
40,Detergente Líquido Odd Maçã 500Ml,1.89,1.89
