,Produto,Preço Base,Preço Final
0,Água Sanitária Santa Clara Embalagem 1 Litro,['4.99'],['4.99']
1,Limpador Sensualidad Casa e Perfume 500Ml,['5.99'],['5.99']
2,Desinfetante Original Bruto Lysoform 1L,['14.99'],['14.99']
3,Lustra Móveis Poliflor Lavanda 200Ml,['12.99'],['12.99']
4,Lustra Móvel Poliflor Lavanda 200Ml,['12.99'],['12.99']
5,Limpador Multiuso Veja Floral Oferta 500Ml,['5.99'],['5.99']
6,Desinfetante para Alimentos Três Barras 300Ml,['9.99'],['9.99']
7,Detergente Ypê Clear 500Ml,['3.99'],['3.99']
8,Detergente Ypê Neutro 500Ml,['3.99'],['3.99']
9,Detergente Coco Ypê 500Ml,['3.99'],['3.99']
10,Detergente Liquido Ype Clear 500Ml Leve 24 Pague 22 Unidades,['3.99'],['3.99']
11,1Un Lava Roupa Omo Lavagem Perfeita 1.6Kg Grátis 150G.,['29.99'],['29.99']
12,"Lava-Roupas Pó Lavagem Perfeita Omo 1,6Kg",['29.99'],['29.99']
13,Sabão em Barra Neutro Ypê 1Kg,['17.99'],['17.99']
14,Pipoca para Micro-Ondas Natural com Sal,['3.99'],['3.99']
