,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,12.98,12.98
1,"Álcool Líquido Araucaria Uso Geral 46,2 Embalagem 1L",7.99,7.99
2,Limpador Multiuso Veja 10% Desconto 500Ml,4.59,4.59
3,Água Sanitária Santa Clara Embalagem 2 Litros,5.99,5.99
4,"Álcool Líquido Araucária 46,2º Embalagem 500Ml",4.98,4.98
5,Sapólio Cremoso Radium Lavanda 250Ml,7.99,7.99
6,Água Sanitária Classic 1Litro,3.69,3.69
7,Alcool Anhanguera 70 Embalagem 1 Litro,9.98,9.98
8,Água Sanitária Marina 5 Litros,11.99,11.99
9,Querosene Jacaré Lata 900Ml,23.98,23.98
10,Soda Cáustica Escorpião 1Kg,31.98,31.98
11,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.49,4.49
12,Água Sanitária Super Globo Embalagem 2 Litros,6.79,6.79
13,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.98,2.98
14,Limpador Agradable Casa e Perfume 1L,8.49,8.49
15,Limpador Casa e Perfume Sensualidad 1L,8.49,8.49
